Id,Longitude,Latitude,UF,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,ano,nome_municipio
1100015,-61.999824,-11.93554,RO,74.0,74.0,148,5837.126918,5837.126918,11674.253836,3,0.496078,0.508352,1339.385496,0,1991,Alta Floresta D'Oeste
1100023,-63.033269,-9.908463,RO,193.5,193.5,387,13315.9893535,13315.9893535,26631.978707,3,0.522275,0.542947,14289.197908,0,1991,Ariquemes
1100031,-60.544314,-13.499763,RO,28.5,28.5,57,1214.346107,1214.346107,2428.692214,3,0.483419,0.492799,164.663076,0,1991,Cabixi
1100049,-61.442944,-11.433865,RO,167.0,167.0,334,16235.2619385,16235.2619385,32470.523877,3,0.517997,0.536377,9710.610482,0,1991,Cacoal
1100056,-60.818426,-13.195033,RO,68.0,68.0,136,4664.5394055,4664.5394055,9329.078811,3,0.502125,0.511507,1145.96342,0,1991,Cerejeiras
1100064,-60.555067,-13.130564,RO,83.0,83.0,166,6441.192255,6441.192255,12882.38451,3,0.507173,0.517038,2281.230606,0,1991,Colorado do Oeste
1100080,-64.231654,-12.436014,RO,26.5,26.5,53,1931.121013,1931.121013,3862.242026,3,0.461934,0.476466,101.891602,0,1991,Costa Marques
1100098,-61.020173,-11.528555,RO,65.0,65.0,130,4017.9464665,4017.9464665,8035.892933,3,0.498667,0.50876,1313.462525,0,1991,Espigão D'Oeste
1100106,-65.323952,-10.773884,RO,50.5,50.5,101,2683.300824,2683.300824,5366.601648,3,0.502406,0.509094,595.71522,0,1991,Guajará-Mirim
1100114,-62.476231,-10.435949,RO,120.0,120.0,240,10397.669747,10397.669747,20795.339494,3,0.511973,0.525612,4105.890353,0,1991,Jaru
1100122,-61.945095,-10.882051,RO,169.5,169.5,339,15487.024482,15487.024482,30974.048964,3,0.516983,0.536117,8183.256383,0,1991,Ji-Paraná
1100130,-61.999593,-9.425562,RO,41.5,41.5,83,3551.5456425,3551.5456425,7103.091285,3,0.49564,0.503229,260.61429,0,1991,Machadinho D'Oeste
1100148,-62.30823,-11.721325,RO,40.5,40.5,81,3580.165087,3580.165087,7160.330174,3,0.490014,0.49922,323.314587,0,1991,Nova Brasilândia D'Oeste
1100155,-62.261055,-10.723574,RO,156.0,156.0,312,11783.5590405,11783.5590405,23567.118081,3,0.51479,0.532739,6776.632058,0,1991,Ouro Preto do Oeste
1100189,-61.183666,-11.677537,RO,125.0,125.0,250,9337.9824655,9337.9824655,18675.964931,3,0.510982,0.525724,4988.754389,0,1991,Pimenta Bueno
1100205,-63.831446,-8.768892,RO,405.5,405.5,811,37257.7758785,37257.7758785,74515.551757,2,0.549639,0.590312,77258.566511,0,1991,Porto Velho
1100254,-61.909439,-11.173205,RO,81.0,81.0,162,5782.0309015,5782.0309015,11564.061803,3,0.503025,0.514031,1474.324159,0,1991,Presidente Médici
1100288,-61.785781,-11.722259,RO,152.0,152.0,304,13475.936453,13475.936453,26951.872906,3,0.51426,0.531811,6930.311798,0,1991,Rolim de Moura
1100296,-61.773305,-11.908423,RO,31.5,31.5,63,2412.147316,2412.147316,4824.294632,3,0.488362,0.496733,220.89826,0,1991,Santa Luzia D'Oeste
1100304,-60.138584,-12.741373,RO,144.0,144.0,288,9739.175409,9739.175409,19478.350818,3,0.515381,0.531329,6234.996765,0,1991,Vilhena
1100320,-62.720063,-11.69949,RO,48.5,48.5,97,6235.7458975,6235.7458975,12471.491795,3,0.495749,0.504343,373.028891,0,1991,São Miguel do Guaporé
1100338,-65.329149,-10.411771,RO,28.0,28.0,56,856.307035,856.307035,1712.61407,3,0.487249,0.495434,228.500327,0,1991,Nova Mamoré
1100346,-62.277275,-11.34413,RO,53.5,53.5,107,4776.14818,4776.14818,9552.29636,3,0.500446,0.508241,558.920343,0,1991,Alvorada D'Oeste
1200054,-69.563459,-10.942866,AC,5.0,5.0,10,173.363106,173.363106,346.726212,3,0.472781,0.481552,112.624799,0,1991,Assis Brasil
1200104,-68.747943,-11.016411,AC,18.0,18.0,36,1293.574611,1293.574611,2587.149222,3,0.446722,0.462918,96.748133,0,1991,Brasiléia
1200203,-72.672531,-7.63069,AC,26.0,26.0,52,3119.0860795,3119.0860795,6238.172159,3,0.480677,0.49046,1375.120632,0,1991,Cruzeiro do Sul
1200302,-70.353984,-8.160248,AC,7.0,7.0,14,983.8670985,983.8670985,1967.734197,3,0.379576,0.395286,106.259374,0,1991,Feijó
1200336,-72.916501,-7.593223,AC,3.0,3.0,6,210.142489,210.142489,420.284978,3,0.467806,0.477506,66.258701,0,1991,Mâncio Lima
1200344,-69.259945,-8.836318,AC,3.5,3.5,7,182.69769,182.69769,365.39538,4,0.340823,0.344896,0.765024,0,1991,Manoel Urbano
1200385,-67.18826,-10.335133,AC,21.0,21.0,42,1884.527912,1884.527912,3769.055824,3,0.481553,0.490349,670.743241,0,1991,Plácido de Castro
1200401,-67.810529,-9.978299,AC,117.5,117.5,235,15353.0930945,15353.0930945,30706.186189,3,0.513143,0.525984,13165.406973,0,1991,Rio Branco
1200450,-67.743172,-10.148174,AC,27.0,27.0,54,2038.5789045,2038.5789045,4077.157809,3,0.44981,0.466815,615.400852,0,1991,Senador Guiomard
